Price,SMA_X,EMA_X,TBR_X,VOL_X,MOM_X,SMA_Y,Increase in 14 days
357.54,nan,nan,nan,nan,nan,nan,0
356.44,nan,nan,nan,nan,nan,nan,0
358.1,nan,nan,nan,nan,nan,nan,0
352.03,nan,nan,nan,nan,nan,nan,1
353.13,nan,nan,nan,nan,nan,nan,1
350.37,nan,nan,nan,nan,nan,nan,1
345.96,nan,nan,nan,nan,nan,nan,1
352.58,nan,nan,nan,nan,nan,nan,1
360.85,nan,nan,nan,nan,nan,nan,1
360.85,nan,nan,nan,nan,nan,nan,0
359.2,nan,nan,nan,nan,nan,nan,0
355.89,355.24499999999995,355.24499999999995,-0.4312130413936392,0.012206038173182695,nan,nan,1
352.03,354.7858333333333,354.7503846153846,-0.024442289039767355,0.012290415487462535,-5.510000000000048,nan,1
350.37,354.28,354.0764792899408,-0.029042538450879916,0.012671904527134474,-6.069999999999993,nan,1
348.16,353.45166666666665,353.16625170687297,-0.0351669668837467,0.013080082098423393,-9.939999999999998,nan,1
341.54,352.57750000000004,351.37759759812326,-0.05351253983649716,0.016110620376187757,-10.489999999999952,nan,1
352.58,352.5316666666667,351.5625825830274,-0.02291811001801313,0.016105837408811854,-0.5500000000000114,nan,1
352.58,352.71583333333336,351.7191083394847,-0.02291811001801313,0.01599143856642874,2.2099999999999795,nan,1
354.79,353.45166666666665,352.1915532103332,-0.016793681585146186,0.014924914509844001,8.830000000000041,nan,1
361.41,354.1875,353.6097757933589,0.0,0.01609596160548276,8.830000000000041,nan,1
360.85,354.1875,354.72365644053446,-0.0015494867325198589,0.01609596160548276,0.0,nan,1
361.96,354.28,355.8369400650676,0.0,0.016416901935883483,1.1099999999999568,nan,1
361.96,354.51,356.77894928582646,0.0,0.017082248093584655,2.759999999999991,nan,1
358.65,354.74,357.06680324185317,-0.009144656868162234,0.017352046714431132,2.759999999999991,354.9925,1
357.54,355.1991666666667,357.13960274310654,-0.0122112940656425,0.017290808107886423,5.510000000000048,354.9925,1
363.61,356.3025,358.1350484749363,0.0,0.01785111941159187,13.240000000000009,355.29125,1
369.13,358.05,359.82657947879227,0.0,0.018857380036310226,20.96999999999997,355.7508333333333,1
370.23,360.4408333333334,361.42710571282424,0.0,0.015073737133589416,28.689999999999998,356.50916666666666,1
371.34,362.0041666666668,362.95216637238974,0.0,0.0155838182002034,18.75999999999999,357.2679166666667,1
374.65,363.8433333333334,364.7518330843298,0.0,0.016112520402282927,22.069999999999993,358.2795833333333,1
380.17,365.9583333333334,367.1238587636637,0.0,0.018387046026753964,25.379999999999995,359.705,1
386.24,368.0275000000001,370.0648035692539,0.0,0.02330318617365447,24.829999999999984,361.1075,0
388.99,370.3725000000001,372.97637225090716,0.0,0.027050858046461807,28.139999999999986,362.28,0
391.75,372.8550000000001,375.8646226738445,0.0,0.03015333516780095,29.79000000000002,363.56749999999994,0
391.2,375.29166666666674,378.22391149325307,-0.0014039566049776934,0.0313717765823632,29.24000000000001,364.9008333333333,0
385.68,377.5441666666668,379.3710020327526,-0.015494575622208023,0.028949355509750717,27.03000000000003,366.14208333333335,1
387.89,380.0733333333335,380.6816171046368,-0.009853222718570552,0.02477028200684158,30.349999999999966,367.63624999999996,1
387.34,382.0508333333335,381.70598370392344,-0.011257179323548245,0.021350512568202203,23.72999999999996,369.17666666666656,1
387.34,383.56833333333356,382.57275544178134,-0.011257179323548245,0.018917627633563385,18.20999999999998,370.8091666666666,1
395.62,385.68416666666684,384.5800238353534,0.0,0.017480392289749864,25.389999999999986,373.06249999999994,1
390.65,387.29333333333346,385.5138663222221,-0.012562560032354349,0.013607193238327965,19.310000000000002,374.6487499999999,1
386.24,388.2591666666668,385.6255791957264,-0.023709620342753136,0.00950221857721644,11.590000000000032,376.0512499999999,1
389.55,389.04083333333347,386.2293362425377,-0.015343005914766677,0.0071261851611534605,9.379999999999995,377.4995833333332,1
385.68,388.99416666666684,386.144822974455,-0.025125120064708552,0.00725813979322385,-0.5600000000000023,378.5108333333332,1
388.99,388.99416666666684,386.58254251684656,-0.016758505636722095,0.00725813979322385,0.0,379.68333333333317,0
385.68,388.4883333333335,386.4436898219471,-0.025125120064708552,0.007279685940254054,-6.069999999999993,380.67166666666657,0
386.79,388.12083333333356,386.4969683108783,-0.022319397401546898,0.007051631948821512,-4.409999999999968,381.70624999999995,0
386.79,388.21333333333354,386.5420501092047,-0.022319397401546898,0.006879690138776688,1.1100000000000136,382.87875,0
386.79,388.12166666666684,386.5801962462501,-0.022319397401546898,0.006954106585549629,-1.099999999999966,384.0975,0
395.62,388.8116666666668,387.9709352852886,0.0,0.008700309853769237,8.28000000000003,385.43125000000003,0
395.06,389.45500000000015,389.06156062601343,-0.0014154997219554175,0.009642465100760188,7.720000000000027,386.5116666666667,0
402.24,390.00666666666683,391.08901283739596,0.0,0.012627064405776028,6.6200000000000045,387.8454166666667,0
402.24,390.97250000000014,392.8045493239504,0.0,0.015294242150127268,11.590000000000032,389.1329166666667,0
403.89,392.44333333333356,394.5100032741119,0.0,0.017212930239501507,17.649999999999977,390.35125,0
403.89,393.63833333333355,395.9530796934793,0.0,0.018741319347391303,14.339999999999975,391.33958333333334,0
399.48,394.7883333333336,396.49568281755944,-0.010918814528708234,0.018030268820679724,13.800000000000011,391.89124999999996,0
396.72,395.4325000000003,396.53019315331954,-0.0177523583153828,0.017477114627883115,7.730000000000018,392.2133333333333,0
387.34,395.5708333333336,395.1163172835781,-0.04097650350342918,0.017009929979424587,1.6599999999999682,392.0295833333333,0
388.44,395.70833333333354,394.089191547643,-0.03825298967540664,0.016584439461772252,1.6499999999999773,391.91458333333327,0
381.27,395.2483333333336,392.117008232621,-0.056005347990789586,0.01852307761697864,-5.520000000000039,391.7308333333333,0
382.93,394.92666666666696,390.7036223506793,-0.051895318032137414,0.019643063977654036,-3.8600000000000136,391.52416666666664,0
377.41,393.409166666667,388.65844968134405,-0.06556240560548655,0.023214292384152024,-18.20999999999998,391.11041666666665,0
371.34,391.4325000000003,385.9940728072911,-0.0805912500928471,0.027969157415188968,-23.720000000000027,390.44374999999997,1
367.48,388.53583333333364,383.1457539138617,-0.09014830770754406,0.03147426748598392,-34.75999999999999,389.27124999999995,1
374.1,386.1908333333337,381.7540994655753,-0.07375770630617239,0.031262275213241694,-28.139999999999986,388.58166666666665,0
371.34,383.4783333333337,380.15193031702523,-0.0805912500928471,0.029809949106922324,-32.55000000000001,387.9608333333333,0
374.1,380.9958333333337,379.22086411440597,-0.07375770630617239,0.025867012661305817,-29.789999999999964,387.31708333333336,0
368.03,378.3750000000004,377.49919271218965,-0.0787273455492141,0.02300885986848783,-31.450000000000045,386.5816666666667,0
369.13,376.0758333333337,376.211624602622,-0.06954527122403718,0.018724133822381975,-27.590000000000032,385.75416666666666,0
366.92,374.374166666667,374.7821438945263,-0.055401091545669814,0.017536518613878692,-20.41999999999996,384.9725,0
369.68,372.81083333333373,373.9971986799838,-0.04829574709092779,0.013679086198866874,-18.75999999999999,384.2595833333333,0
368.58,371.7533333333338,373.1637834984478,-0.037474211996970784,0.012154697800662124,-12.689999999999998,383.5008333333333,0
368.58,370.5575000000005,372.4585860371481,-0.037474211996970784,0.008281173544612,-14.350000000000023,382.74208333333326,0
368.03,369.7758333333338,371.77726510835606,-0.024853607482578765,0.0062987975485546644,-9.380000000000052,381.5924999999999,0
368.03,369.50000000000045,371.2007627839936,-0.016225608126169605,0.0062883910316612794,-3.3100000000000023,380.46624999999995,0
372.44,369.9133333333338,371.3914146633792,-0.004437316225608193,0.006402031165291298,4.9599999999999795,379.2245833333333,0
371.89,369.72916666666714,371.46812009978237,-0.0059075113605988674,0.0056987073495693725,-2.2100000000000364,377.96,0
371.34,369.72916666666714,371.4484093152005,-0.007377706495589542,0.0056987073495693725,0.0,376.60375,0
365.82,369.03916666666714,370.58250018978504,-0.02213311948676832,0.005173195457726176,-8.28000000000003,375.0175,0
363.61,368.6708333333338,369.50980785289505,-0.023708516808076428,0.006577608386462689,-4.419999999999959,373.52291666666673,0
365.82,368.39500000000044,368.9421451062958,-0.01777467511545485,0.006901453814437885,-3.3100000000000023,372.2354166666667,0
360.85,367.8891666666671,367.69719970532725,-0.031119106433250925,0.008920889165004187,-6.069999999999993,371.1316666666667,0
359.2,367.01583333333383,366.3899382122,-0.0355493502309097,0.010909840727954463,-10.480000000000018,369.9133333333334,0
358.1,366.14250000000055,365.11456310263077,-0.0385028460960154,0.012719908654925567,-10.479999999999961,368.94791666666674,0
355.89,365.08500000000055,363.6953995483799,-0.04443668778863712,0.014708799265820789,-12.689999999999998,367.82125,0
357.54,364.21083333333394,362.7484150024753,-0.04000644399097835,0.015554484426788853,-10.489999999999952,366.9933333333334,0
361.41,363.65916666666726,362.5425050020945,-0.029615508538287972,0.01536643754882813,-6.619999999999948,366.5795833333334,0
356.99,362.3716666666673,361.68827346331074,-0.041483191923531275,0.014299655408420407,-15.449999999999989,366.1425000000001,1
350.92,360.62416666666724,360.0316160074168,-0.056387641506897124,0.014455578309448268,-20.96999999999997,365.17666666666673,1
347.61,358.6466666666672,358.1205981601219,-0.0639037001131038,0.014703975829062464,-23.72999999999996,364.18791666666675,1
347.61,357.12916666666723,356.5035830585647,-0.049778579629325845,0.015683086230999704,-18.20999999999998,363.08416666666676,1
341.54,355.2900000000006,354.20149335724705,-0.06637143950576779,0.018826122502343615,-22.069999999999993,361.98041666666677,1
344.85,353.54250000000053,352.7628020715167,-0.05732327374118411,0.01822760044982348,-20.96999999999997,360.96875000000017,1
347.61,352.43916666666723,351.9700632912834,-0.03818378019423926,0.01767243468585383,-13.240000000000009,360.16416666666686,1
346.51,351.3816666666673,351.1300535541629,-0.04122741484740332,0.017263172099666674,-12.689999999999998,359.1987500000002,1
343.2,350.1400000000006,349.9100453150609,-0.05038598821283317,0.017389063936240682,-14.900000000000034,358.1412500000002,1
347.06,349.4041666666673,349.47157680505154,-0.03970559752082129,0.01682636280968907,-8.829999999999984,357.24458333333354,1
345.96,348.4391666666673,348.931334219659,-0.042749232173985345,0.015483413620406809,-11.580000000000041,356.3250000000001,1
345.41,347.105833333334,348.3895904935576,-0.04427104950056722,0.010807650506546184,-16.0,355.38250000000016,1
350.37,346.5541666666673,348.6942688791641,-0.018543936804952532,0.007365315234328679,-6.6200000000000045,354.46291666666684,1
355.61,346.9450000000006,349.7582275131389,0.0,0.009820166383462187,4.689999999999998,353.7845833333335,1
358.1,347.8191666666673,351.04157712650215,0.0,0.013230426067964504,10.490000000000009,353.2329166666668,1
359.75,348.8308333333339,352.38133449165565,0.0,0.016219519070049298,12.139999999999986,352.9800000000002,1
363.06,350.62416666666724,354.024206108324,0.0,0.018315039876740415,21.519999999999982,352.9570833333335,1
363.61,352.1875000000006,355.4989436301203,0.0,0.02009129488254324,18.75999999999999,352.86500000000024,1
366.37,353.75083333333396,357.171413840871,0.0,0.022373252432805774,18.75999999999999,353.09500000000025,0
372.99,355.9575000000006,359.60504248073704,0.0,0.02578573211157505,26.480000000000018,353.6695833333336,0
366.92,357.9341666666673,360.73042056062366,-0.016273894742486375,0.02448241957353199,23.720000000000027,354.0370833333336,0
365.82,359.4975000000006,361.51343278206616,-0.019223035470119883,0.023219127321417836,18.75999999999999,354.4508333333336,0
366.92,361.2441666666673,362.345212354056,-0.016273894742486375,0.020705095511439658,20.960000000000036,354.8416666666669,0
366.37,362.99083333333397,362.964410453432,-0.01774846510630313,0.016108362730601653,20.95999999999998,355.04833333333363,0
